city,corrected
licge,liege
auxerres,auxerre
briuxelles,bruxelles
gencve,geneve
thics,thies
watermael-boistfort,watermael-boitsfort
tarascon-sur-aricge,tarascon-sur-ariege
vvvvvvvvvvvvvv,
licge,liege
palaikastro sitias,palaikastro sitia
paleikastro,palaikastro sitia
gencve,geneve
differentes villes,
mallanville,malanville
charleville mezicres,charleville mezieres
moscou-yasnada poliana,yasnaya polyana
jyvaskila,jyvaskyla
bruxelles-zaventem-genappe,bruxelles
abiddan,abidjan
worclaw,wroclaw
moscou- iasnada poliana,yasnaya polyana
moscou-iasnada poliana,yasnaya polyana
athcnes,athenes
shangad,
modcne,
"",
palekastro crete,palaikastro sitia
crcte,crete
strabsourg,strasbourg
seatte,seattle
szczecin pobierowo,pobierowo
motreal,montreal
uberladia,uberlandia
palaiksatro,palaikastro sitia
cheikh abadah
tromsr,tromso
monasitr,monastir
thics,thies
hochi min,ho chi minh
la,
riod e janeiro,rio de janeiro
reaading,reading
vanve,vanves
lumumbashi,lubumbashi
siem rap,krong siem reap
compicgne,compiegne
egigny,gigny
vparis,paris
ai-en-rovence,aix-en-provence
wroc?aw,wroclaw
athcne,athene
hanod,
erevan zougdidi soukhoumi,
st pertersbourg,st petersburg
trois-rivicres,trois-rivieres
cracivie,krakow
johannesbrug,johannesburg
logono,
nimcgue,nijmegen
destinations multiples,
cgligny,celigny
fcre-en-tardenois,fere-en-tardenois
cadriff,cardiff
bajo aguan,
buccarest,bucharest
coventry- bangor- liverpool manchester -,bangor
tegucigapa,tegucigalpa
vallee de lurin,lima
brazzavile,brazzaville
il,
kalkanl?,lalkanli
la paix-dieu awap,la paix-dieu
egligny  abbaye cistercienne de preuilly,egligny
kao hsiung,kaohsiung
quenvec,quebec
kuala lumppur,kuala lumpur
dzaoudi,dzaoudzi
monttpellier,montpellier
saint-etienne-de-badgorry,saint-etienne-de-Baigorry
stockhlom,stockholm
leicaster,leicester
tooulouse,toulouse
cargcse,
perpigan,perpignan
la louvicre,la louviere
grenobles,grenoble
abidjen,abidjan
kinshasa kananga lodja,kinshasa
tolcde
szklarska por?ba,szklarska poreba
montpellie,montpellier
