debut;fin;pays_origine;ville_origine;pays;ville;lieu;mode_deplacement;acronyme;libelle;faculte
2010-05-28;2010-06-01;;;Grande Bretagne;Londres/Oxford;Oxford University — All Souls College;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2010-06-22;2010-07-08;;;Royaume-Uni;Londres;Archives du Royal Opera House Covent GardenArchives Nationales de KewLaban Center for Mouvement;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-06-22;2010-07-08;;;Royaume-Uni;Londres;Archives du Royal Opera House Covent GardenArchives Nationales de KewLaban Center for Mouvement;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-07-12;2010-07-17;;;Royaume-Uni;Londres;Archives du Royal Opera House Covent GardenArchives Nationales de KewLaban Center for Mouvement;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-05-31;2010-06-01;;;France;Paris;EHESS Séminaire Histoire culturelle de la danseMinistère des affaires étrangères;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-09-08;2010-09-11;;;Italie;Vérone;Università degli Studi di Verona.;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2010-06-23;2010-07-08;;;GrÃ¨ce;Kastro, Siphnos (Cyclades);MusÃ©e de Kastro, Ephorie des Cyclades;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-07-10;2010-07-28;;;GrÃ¨ce;Palaikastro, Sitias (CrÃ¨te);Ecole franÃ§aise d'AthÃ¨nes (EfA) & XXIVe Ephorie des AntiquitÃ©s Classiques (GrÃ¨ce);NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-08-01;2010-08-22;;;Royaume Uni;Oxford;UniversitÃ© d'Oxford, The Beazley Archive, Ioannou Centre of Classical Studies;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-06-24;2010-06-24;;;France;Lille;Université de Lille 3;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-07-02;2010-07-09;;;Afrique du Sud;Grahamstown;Rhodes University;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
