Sector;Subsector;Fuel;Technology;2015
Passenger Cars;Gasoline <0,8 l;Gasoline;PC Euro 4 - 98/69/EC Stage2005;945
Passenger Cars;Gasoline <0,8 l;Gasoline;PC Euro 5 - EC 715/2007;33
Passenger Cars;Gasoline <0,8 l;Gasoline;PC Euro 6 - EC 715/2007;1
Passenger Cars;Gasoline 0,8 - 1,4 l;Gasoline;PRE ECE;6 774
Passenger Cars;Gasoline 0,8 - 1,4 l;Gasoline;ECE 15/00-01;1 020
Passenger Cars;Gasoline 0,8 - 1,4 l;Gasoline;ECE 15/02;2 698
Passenger Cars;Gasoline 0,8 - 1,4 l;Gasoline;ECE 15/03;1 768
Passenger Cars;Gasoline 0,8 - 1,4 l;Gasoline;ECE 15/04;1 756
Passenger Cars;Gasoline 0,8 - 1,4 l;Gasoline;PC Euro 1 - 91/441/EEC;2 694
Passenger Cars;Gasoline 0,8 - 1,4 l;Gasoline;PC Euro 2 - 94/12/EEC;5 458
Passenger Cars;Gasoline 0,8 - 1,4 l;Gasoline;PC Euro 3 - 98/69/EC Stage2000;15 178
Passenger Cars;Gasoline 0,8 - 1,4 l;Gasoline;PC Euro 4 - 98/69/EC Stage2005;37 352
Passenger Cars;Gasoline 0,8 - 1,4 l;Gasoline;PC Euro 5 - EC 715/2007;39 267
Passenger Cars;Gasoline 0,8 - 1,4 l;Gasoline;PC Euro 6 - EC 715/2007;12 121
Passenger Cars;Gasoline 1,4 - 2,0 l;Gasoline;PRE ECE;4 501
Passenger Cars;Gasoline 1,4 - 2,0 l;Gasoline;ECE 15/00-01;627
Passenger Cars;Gasoline 1,4 - 2,0 l;Gasoline;ECE 15/02;1 615
Passenger Cars;Gasoline 1,4 - 2,0 l;Gasoline;ECE 15/03;1 514
Passenger Cars;Gasoline 1,4 - 2,0 l;Gasoline;ECE 15/04;1 757
Passenger Cars;Gasoline 1,4 - 2,0 l;Gasoline;PC Euro 1 - 91/441/EEC;3 308
Passenger Cars;Gasoline 1,4 - 2,0 l;Gasoline;PC Euro 2 - 94/12/EEC;3 387
Passenger Cars;Gasoline 1,4 - 2,0 l;Gasoline;PC Euro 3 - 98/69/EC Stage2000;8 223
Passenger Cars;Gasoline 1,4 - 2,0 l;Gasoline;PC Euro 4 - 98/69/EC Stage2005;16 378
Passenger Cars;Gasoline 1,4 - 2,0 l;Gasoline;PC Euro 5 - EC 715/2007;10 989
Passenger Cars;Gasoline 1,4 - 2,0 l;Gasoline;PC Euro 6 - EC 715/2007;4 061
Passenger Cars;Gasoline >2,0 l;Gasoline;PRE ECE;5 031
Passenger Cars;Gasoline >2,0 l;Gasoline;ECE 15/00-01;662
Passenger Cars;Gasoline >2,0 l;Gasoline;ECE 15/02;1 571
Passenger Cars;Gasoline >2,0 l;Gasoline;ECE 15/03;1 238
Passenger Cars;Gasoline >2,0 l;Gasoline;ECE 15/04;1 567
Passenger Cars;Gasoline >2,0 l;Gasoline;PC Euro 1 - 91/441/EEC;1 611
Passenger Cars;Gasoline >2,0 l;Gasoline;PC Euro 2 - 94/12/EEC;788
Passenger Cars;Gasoline >2,0 l;Gasoline;PC Euro 3 - 98/69/EC Stage2000;1 683
Passenger Cars;Gasoline >2,0 l;Gasoline;PC Euro 4 - 98/69/EC Stage2005;3 511
Passenger Cars;Gasoline >2,0 l;Gasoline;PC Euro 5 - EC 715/2007;1 789
Passenger Cars;Gasoline >2,0 l;Gasoline;PC Euro 6 - EC 715/2007;513
Passenger Cars;Diesel <1,4 l;Diesel;PC Euro 4 - 98/69/EC Stage2005;10 880
Passenger Cars;Diesel <1,4 l;Diesel;PC Euro 5 - EC 715/2007;9 332
Passenger Cars;Diesel <1,4 l;Diesel;PC Euro 6 - EC 715/2007;621
Passenger Cars;Diesel 1,4 - 2,0 l;Diesel;Conventional;1 950
Passenger Cars;Diesel 1,4 - 2,0 l;Diesel;PC Euro 1 - 91/441/EEC;1 779
Passenger Cars;Diesel 1,4 - 2,0 l;Diesel;PC Euro 2 - 94/12/EEC;9 351
Passenger Cars;Diesel 1,4 - 2,0 l;Diesel;PC Euro 3 - 98/69/EC Stage2000;36 916
Passenger Cars;Diesel 1,4 - 2,0 l;Diesel;PC Euro 4 - 98/69/EC Stage2005;59 544
Passenger Cars;Diesel 1,4 - 2,0 l;Diesel;PC Euro 5 - EC 715/2007;123 185
Passenger Cars;Diesel 1,4 - 2,0 l;Diesel;PC Euro 6 - EC 715/2007;31 645
Passenger Cars;Diesel >2,0 l;Diesel;Conventional;2 346
Passenger Cars;Diesel >2,0 l;Diesel;PC Euro 1 - 91/441/EEC;716
Passenger Cars;Diesel >2,0 l;Diesel;PC Euro 2 - 94/12/EEC;2 144
Passenger Cars;Diesel >2,0 l;Diesel;PC Euro 3 - 98/69/EC Stage2000;9 208
Passenger Cars;Diesel >2,0 l;Diesel;PC Euro 4 - 98/69/EC Stage2005;12 035
Passenger Cars;Diesel >2,0 l;Diesel;PC Euro 5 - EC 715/2007;14 923
Passenger Cars;Diesel >2,0 l;Diesel;PC Euro 6 - EC 715/2007;5 310
Passenger Cars;LPG;LPG;Conventional;195
Passenger Cars;LPG;LPG;PC Euro 1 - 91/441/EEC;81
Passenger Cars;LPG;LPG;PC Euro 2 - 94/12/EEC;94
Passenger Cars;LPG;LPG;PC Euro 3 - 98/69/EC Stage2000;229
Passenger Cars;LPG;LPG;PC Euro 4 - 98/69/EC Stage2005;323
Passenger Cars;LPG;LPG;PC Euro 5 - EC 715/2007;45
Passenger Cars;LPG;LPG;PC Euro 6 - EC 715/2007;1
Passenger Cars;E85;E85;PC Euro 4 - 98/69/EC Stage2005;1
Passenger Cars;E85;E85;PC Euro 5 - EC 715/2007;14
Passenger Cars;E85;E85;PC Euro 6 - EC 715/2007;0
Passenger Cars;CNG;CNG;PC Euro 4 - 98/69/EC Stage2005;9
Passenger Cars;CNG;CNG;PC Euro 5 - EC 715/2007;79
Passenger Cars;CNG;CNG;PC Euro 6 - EC 715/2007;76
Passenger Cars;Hybrid Gasoline <1,4 l;Gasoline;PC Euro 4 - 98/69/EC Stage2005;240
Passenger Cars;Hybrid Gasoline 1,4 - 2,0 l;Gasoline;PC Euro 4 - 98/69/EC Stage2005;3 332
Passenger Cars;Hybrid Gasoline >2,0 l;Gasoline;PC Euro 4 - 98/69/EC Stage2005;535
Light Commercial Vehicles;Gasoline <3,5t;Gasoline;Conventional;2 033
Light Commercial Vehicles;Gasoline <3,5t;Gasoline;LD Euro 1 - 93/59/EEC;141
Light Commercial Vehicles;Gasoline <3,5t;Gasoline;LD Euro 2 - 96/69/EEC;268
Light Commercial Vehicles;Gasoline <3,5t;Gasoline;LD Euro 3 - 98/69/EC Stage2000;211
Light Commercial Vehicles;Gasoline <3,5t;Gasoline;LD Euro 4 - 98/69/EC Stage2005;306
Light Commercial Vehicles;Gasoline <3,5t;Gasoline;LD Euro 5 - 2008 Standards;559
Light Commercial Vehicles;Gasoline <3,5t;Gasoline;LD Euro 6;83
Light Commercial Vehicles;Diesel <3,5 t;Diesel;Conventional;1 145
Light Commercial Vehicles;Diesel <3,5 t;Diesel;LD Euro 1 - 93/59/EEC;788
Light Commercial Vehicles;Diesel <3,5 t;Diesel;LD Euro 2 - 96/69/EEC;4 230
Light Commercial Vehicles;Diesel <3,5 t;Diesel;LD Euro 3 - 98/69/EC Stage2000;10 230
Light Commercial Vehicles;Diesel <3,5 t;Diesel;LD Euro 4 - 98/69/EC Stage2005;17 027
Light Commercial Vehicles;Diesel <3,5 t;Diesel;LD Euro 5 - 2008 Standards;27 288
Light Commercial Vehicles;Diesel <3,5 t;Diesel;LD Euro 6;280
Heavy Duty Trucks;Gasoline >3,5 t;Gasoline;Conventional;335
Heavy Duty Trucks;Rigid <=7,5 t;Diesel;Conventional;416
Heavy Duty Trucks;Rigid <=7,5 t;Diesel;HD Euro I - 91/542/EEC Stage I;41
Heavy Duty Trucks;Rigid <=7,5 t;Diesel;HD Euro II - 91/542/EEC Stage II;258
