date,AFGHANISTAN,ALBANIA,ALGERIA,ANDORRA,ARGENTINA,ARMENIA,AUSTRALIA,AUSTRIA,AZERBAIJAN,BAHRAIN,BANGLADESH,BELARUS,BELGIUM,BHUTAN,BOSNIA AND HERZEGOVINA,BRAZIL,BULGARIA,CAMBODIA,CAMEROON,CANADA,CHILE,CHINA,COLOMBIA,COSTA RICA,CROATIA,CZECH REPUBLIC,DENMARK,DOMINICAN REPUBLIC,ECUADOR,EGYPT,ESTONIA,FAROE ISLANDS,FINLAND,FRANCE,FRENCH GUIANA,GEORGIA,GERMANY,GIBRALTAR,GREECE,HOLY SEE,HUNGARY,ICELAND,INDIA,INDONESIA,IRAN (ISLAMIC REPUBLIC OF),IRAQ,IRELAND,ISRAEL,ITALY,International conveyance (Diamond Princess),JAPAN,JORDAN,KUWAIT,LATVIA,LEBANON,LIECHTENSTEIN,LITHUANIA,LUXEMBOURG,MALAYSIA,MALDIVES,MALTA,MARTINIQUE,MEXICO,MONACO,MOROCCO,NEPAL,NETHERLANDS,NEW ZEALAND,NIGERIA,NORTH MACEDONIA,NORWAY,OMAN,PAKISTAN,PERU,PHILIPPINES,POLAND,PORTUGAL,QATAR,REPUBLIC OF KOREA,REPUBLIC OF MOLDOVA,ROMANIA,RUSSIAN FEDERATION,SAINT BARTHELEMY,SAINT MARTIN,SAN MARINO,SAUDI ARABIA,SENEGAL,SERBIA,SINGAPORE,SLOVAKIA,SLOVENIA,SOUTH AFRICA,SPAIN,SRI LANKA,SWEDEN,SWITZERLAND,Saint Martin,THAILAND,TOGO,TUNISIA,UKRAINE,UNITED ARAB EMIRATES,UNITED KINGDOM,UNITED STATES OF AMERICA,VIET NAM,occupied Palestinian territory
2020-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,1.0,,
2020-01-23,,,,,,,,,,,,,,,,,,,,,,574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,1.0,,
2020-01-24,,,,,,,,,,,,,,,,,,,,,,835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,4.0,,,,,,1.0,2.0,
2020-01-25,,,,,,,3.0,,,,,,,,,,,,,,,1297.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,3.0,,,,,,,,,4.0,,,,,,2.0,2.0,
2020-01-26,,,,,,,4.0,,,,,,,,,,,,,,,1985.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,4.0,,,,,,,,,5.0,,,,,,2.0,2.0,
2020-01-27,,,,,,,4.0,,,,,,,,,,,,,1.0,,2761.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,4.0,,,,,,,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,4.0,,,,,,,,,5.0,,,,,,5.0,2.0,
2020-01-28,,,,,,,5.0,,,,,,,,,,,1.0,,2.0,,4537.0,,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,6.0,,,,,,,,4.0,,,,,,,1.0,,,,,,,,,,,,,4.0,,,,,,,,,,7.0,,,,,1.0,,,,14.0,,,,,,5.0,2.0,
2020-01-29,,,,,,,7.0,,,,,,,,,,,1.0,,3.0,,5997.0,,,,,,,,,,,,4.0,,,4.0,,,,,,,,,,,,,,7.0,,,,,,,,4.0,,,,,,,1.0,,,,,,,,,,,,,4.0,,,,,,,,,,7.0,,,,,1.0,,,,14.0,,,,4.0,,5.0,2.0,
2020-01-30,,,,,,,7.0,,,,,,,,,,,1.0,,3.0,,7736.0,,,,,,,,,,,1.0,5.0,,,4.0,,,,,,1.0,,,,,,,,11.0,,,,,,,,7.0,,,,,,,1.0,,,,,,,,,1.0,,,,4.0,,,,,,,,,,10.0,,,,,1.0,,,,14.0,,,,4.0,,5.0,2.0,
2020-01-31,,,,,,,9.0,,,,,,,,,,,1.0,,3.0,,9720.0,,,,,,,,,,,1.0,6.0,,,6.0,,,,,,1.0,,,,,,2.0,,15.0,,,,,,,,8.0,,,,,,,1.0,,,,,,,,,1.0,,,,11.0,,,2.0,,,,,,,16.0,,,,,1.0,1.0,,,19.0,,,,4.0,2.0,6.0,5.0,
