"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.967449999E-2,-4.376280947E-2,-8.469034061E-2,-9.418344140E-2
3.973449999E-2,-2.728005672E-2,-9.213750064E-3,1.221267003E-1
4.979349999E-2,5.987327730E-2,-5.517447308E-2,1.101545262E-1
5.985349999E-2,-8.849384475E-2,-5.951910049E-2,-8.174232066E-2
6.991349999E-2,2.769922899E-2,-4.337508425E-2,2.197676003E-2
7.997249998E-2,-1.196826372E-2,1.313147226E-1,7.868130326E-2
9.003249998E-2,4.144608781E-2,1.152939364E-1,2.520500779E-2
1.000925000E-1,-7.920928856E-2,3.014780536E-2,-2.086152059E-1
1.101525000E-1,4.949858084E-2,-3.942046613E-3,6.141856849E-2
1.202115000E-1,2.002313219E-2,-1.362298921E-2,5.768687546E-2
1.302715000E-1,3.498853248E-2,-5.987534210E-2,8.074770927E-2
1.403315000E-1,-2.401590340E-2,-1.193744159E-1,-1.247819209E-1
1.503915000E-1,-1.094235146E-2,1.712693319E-2,1.217594951E-1
1.604505000E-1,3.842777336E-2,2.199459404E-2,4.976974547E-2
1.705105000E-1,-4.907611951E-2,2.325773880E-2,-2.416303396E-2
1.805705000E-1,-2.596351957E-2,-7.117508635E-2,-9.554759681E-2
1.906305000E-1,-2.923370283E-2,7.941542119E-3,1.128424913E-1
2.006895000E-1,7.381071880E-2,-7.032139286E-2,9.310287595E-2
2.107495000E-1,-8.028890384E-2,-4.985219121E-2,-1.088207763E-1
2.208095000E-1,3.134447459E-2,-2.940053120E-2,2.755441904E-2
2.308695000E-1,-1.777146081E-2,1.237741533E-1,1.051048708E-1
2.409285000E-1,6.891283516E-2,1.046827018E-1,9.467811584E-3
2.509885000E-1,-7.233632511E-2,3.333073720E-2,-1.848392576E-1
2.610485000E-1,3.996041995E-2,1.871357515E-2,6.481287718E-2
2.711075000E-1,3.705376904E-2,-3.255144954E-3,6.645009756E-2
2.811675000E-1,3.942488808E-2,-5.607538283E-2,7.618688107E-2
2.912275000E-1,-3.883384421E-2,-1.037135258E-1,-1.248374695E-1
3.012875000E-1,1.472639535E-2,5.465173200E-2,1.492408240E-1
3.113465000E-1,3.103855558E-2,1.967617303E-2,4.969080806E-2
3.214065000E-1,-8.120647816E-2,2.329691514E-2,-6.063445687E-2
3.314665000E-1,-1.631343931E-2,-8.323716134E-2,-7.396435440E-2
3.415265000E-1,-8.308984805E-3,2.286392882E-2,1.441104770E-1
3.515855000E-1,7.415577762E-2,-6.927488744E-2,9.710529506E-2
3.616455000E-1,-6.984186636E-2,-5.720754996E-2,-9.929917037E-2
3.717055000E-1,3.680933716E-2,-9.998007864E-3,6.190914989E-2
3.817645000E-1,2.398089319E-4,1.239498621E-1,4.668007672E-2
3.918245000E-1,4.385923371E-2,9.284618318E-2,7.441751361E-3
4.018845000E-1,-5.600174446E-2,3.983708024E-3,-1.965734500E-1
4.119445000E-1,4.763609648E-2,2.878291905E-3,9.023715556E-2
4.220035000E-1,3.522788459E-2,-2.585361019E-2,3.980842888E-2
4.320635000E-1,2.653393373E-2,-6.535140574E-2,6.690559566E-2
4.421235000E-1,-6.597760599E-3,-1.130551837E-1,-8.954542994E-2
4.521835000E-1,-1.306114487E-2,4.434557587E-2,1.479795796E-1
4.622425000E-1,5.829871349E-2,4.322276428E-2,3.540430605E-2
4.723025000E-1,-8.131883606E-2,4.921747595E-2,-7.207394958E-2
4.823625000E-1,-1.609826177E-2,-3.412478909E-2,-4.888213813E-2
4.924225000E-1,-2.109732052E-2,2.488136441E-2,1.316331035E-1
5.024815000E-1,6.546538990E-2,-6.249226347E-2,7.564893723E-2
5.125415000E-1,-6.704622120E-2,-3.539392725E-2,-1.183476448E-1
5.226015000E-1,2.550535368E-2,-3.166998178E-3,4.510892987E-2
5.326615000E-1,-2.333344197E-2,1.521743721E-1,6.544846952E-2
5.427205000E-1,4.176867139E-2,9.474462792E-2,3.206730008E-2
5.527805000E-1,-7.121249026E-2,2.472933680E-2,-1.855894554E-1
5.628405000E-1,2.943148490E-2,-3.021183237E-2,9.220883667E-2
5.728995000E-1,1.300301990E-2,-2.378515765E-2,5.957377195E-2
5.829595000E-1,4.257293763E-2,-8.710582539E-2,9.460911870E-2
5.930195000E-1,-4.022661444E-2,-1.068069953E-1,-1.321558446E-1
6.030795000E-1,8.411055263E-3,2.540352076E-2,1.291989076E-1
6.131385000E-1,1.719437717E-2,5.261383116E-2,3.504704118E-2
6.231985000E-1,-4.775592785E-2,7.028981790E-2,-2.106459439E-2
6.332585000E-1,-6.042287903E-2,-4.735104471E-2,-1.227272093E-1
6.433185000E-1,-3.652042989E-3,2.368853241E-3,1.089663720E-1
6.533775000E-1,7.223641081E-2,-7.548039123E-2,5.715770245E-2
6.634375000E-1,-2.921926752E-2,-5.118608728E-2,-4.912479758E-2
6.734975000E-1,2.142567823E-2,-4.009845078E-2,-3.445471823E-2
6.835565000E-1,-3.926862124E-3,1.075159702E-1,8.783628881E-2
6.936165000E-1,5.265152743E-2,1.079495412E-1,1.209555030E-2
7.036765000E-1,-6.345723677E-2,5.987285703E-2,-1.473229373E-1
7.137365000E-1,1.423736712E-2,-5.355947211E-2,2.823328078E-2
7.237955000E-1,-1.326607151E-2,-3.359824732E-2,8.659784853E-2
7.338555000E-1,9.023258742E-2,-1.102384338E-1,1.085863030E-1
7.439155000E-1,-7.096661484E-2,-9.357898548E-2,-1.490139520E-1
7.539755000E-1,4.125607157E-2,-4.968130633E-2,1.171518892E-1
7.640345000E-1,-3.140912287E-2,9.534849912E-2,7.675464571E-2
7.740945000E-1,1.824369656E-2,9.163478628E-2,5.971410513E-2
7.841545000E-1,-8.571718477E-2,8.965389580E-3,-1.736254674E-1
7.942135000E-1,8.966065664E-3,-2.167168155E-2,1.224500513E-1
8.042735000E-1,1.318580020E-2,-3.730275080E-2,6.540636957E-2
8.143335000E-1,2.307311296E-3,-3.641806707E-2,5.072284162E-2
