X,Y,Z,C
-363.39,-208.4,-1381.62,5.02E-05
-377.56,-219.617,-1340.05,8.07E-05
-536.924,-77.4538,-1301.36,0.0001325
-402.573,-216.734,-1254.4,0.000130688
-551.524,-70.3799,-1246.47,0.000610873
-545.321,-85.7373,-1282.39,0.000209427
-573.984,-62.9318,-1259.13,0.000235768
-623.527,18.4289,-1250.12,0.000110844
-652.905,52.0439,-1240.86,0.000158371
-1114.02,492.12,-1246.47,5.98E-05
-251.217,-383.649,-1196.05,0.00141419
-355.344,-278.121,-1209.05,0.000221856
-346.918,-294.381,-1196.46,0.000234728
-377.601,-288.346,-1164.99,0.000360156
-311.166,-306.877,-1219.17,0.000190674
-419.183,-225.078,-1211.67,0.000158158
-407.258,-220.591,-1233.61,0.000147962
-382.939,-237.867,-1199.56,0.000233225
-379.322,-255.963,-1253.93,0.000128345
-602.947,-34.9079,-1177.57,0.000216836
-754.906,110.976,-1189.78,0.000196015
-813.717,178.851,-1196.05,0.000173695
-909.418,268.119,-1196.46,0.00012691
-391.387,-293.55,-1085.3,0.00242979
-391.66,-281.656,-1108,0.000960398
-415.03,-255.998,-1130.34,0.000482758
-412.206,-243.721,-1170.27,0.000338678
-665.496,4.22256,-1112.1,0.000662283
-685.282,18.3808,-1101.41,0.000817204
-654.905,-1.49752,-1131.18,0.000482568
-630.959,-37.8824,-1139.16,0.000442156
-712.304,47.5354,-1123.12,0.000612382
-701.461,32.9691,-1104.97,0.000839122
-636.408,3.03793,-1180.17,0.00027123
-689.203,20.6813,-1144.5,0.000567161
-671.165,30.0819,-1156.65,0.000389587
-777.958,101.088,-1099.07,0.00083635
-763.416,122.702,-1147.12,0.000369015
-804.766,121.822,-1109.19,0.000604951
-745.461,77.6924,-1115.86,0.000614777
-729.959,78.7552,-1160.74,0.000326369
-954.16,280.844,-1108,0.000316118
-1093.22,447.636,-1140.84,0.000728435
-400.972,-300.108,-1066.63,0.00249669
-317.369,-325.023,-1078.71,0.000916679
-479.162,-195.066,-1028.09,0.000721036
-577.306,-97.0379,-1096.55,0.00129916
-552.608,-109.906,-1103.37,0.00130111
-680.55,-15.9041,-1074.44,0.00131304
-643.675,-23.8348,-1035.32,0.00165324
-656.146,-10.7752,-1027.49,0.00228697
-675.455,9.78972,-1035.75,0.00251425
-740.275,43.5363,-1088.96,0.00119536
-753.324,64.635,-1036.91,0.00303766
-671.557,-0.964373,-1055.13,0.00188663
-812.226,122.316,-1081.78,0.00092309
-780.836,118.047,-1040.94,0.00238607
-800.57,124.017,-1039.37,0.00254397
-762.905,76.992,-1069.29,0.0016624
-718.338,53.3085,-1045.52,0.00231254
-739.949,60.0517,-1029.39,0.00363505
-757.56,93.3048,-1036.81,0.00175066
-900.709,221.173,-1035.58,0.000352699
-878.919,206.371,-1037.31,0.000489513
-919.662,251.318,-1069.85,0.000228253
-914.519,223.903,-1038.19,0.000460575
-995.523,314.426,-1027.27,0.00190614
-974.56,302.942,-1034.07,0.00169751
-1139.81,465.462,-1096.55,0.000980941
-1155.96,469.586,-1081.68,0.00061703
-1157.77,461.252,-1052.91,0.000531161
-1125.6,444.966,-1058.18,0.00109605
-1115.11,452.594,-1103.37,0.00175517
-391.717,-296.297,-1017.01,0.00370014
-459.905,-242.327,-968.772,0.000730797
-445.754,-243.999,-979.457,0.000644373
-448.546,-250.973,-961.49,0.000625155
-381.689,-297.396,-987.961,0.0011533
-567.371,-136.517,-958.193,0.00274449
-506.26,-165.261,-991.402,0.000887352
-483.463,-190.043,-986.37,0.000793175
-506.745,-188.186,-1017.17,0.000827076
-493.366,-183.933,-976.571,0.00081968
-611.019,-59.6761,-1022.02,0.00230216
-606.63,-101.333,-976.276,0.00333925
-554.697,-134.631,-994.02,0.00231565
-563.73,-125.928,-986.308,0.00293379
-581.557,-89.8122,-1023.68,0.00276078
-572.452,-115.696,-975.784,0.00401542
-591.601,-105.403,-969.822,0.00426026
-694.035,2.85232,-975.523,0.00510849
-708.75,6.01256,-965.187,0.0189238
-681.626,-2.02683,-983.105,0.00424258
-637.486,-53.7618,-992.716,0.00362279
-623.871,-58.0669,-998.653,0.00321874
-650.198,-51.0816,-984.818,0.00364578
-623.942,-47.7826,-1027.39,0.00210127
-634.051,-36.5442,-1033.94,0.00175921
-614.526,-64.0989,-988.588,0.00353903
-634.262,-61.8551,-957.361,0.00391762
-639.775,-54.6562,-974.897,0.00402183
-744.84,65.2243,-971.861,0.00362221
-747.374,67.6992,-1004.96,0.00364875
-697.634,14.5602,-984.229,0.00580907
-702.846,24.262,-997.987,0.0046874
-698.84,20.0156,-1017.08,0.00354279
-725.79,54.6503,-1022.2,0.00346255
-722.926,33.8471,-1003.8,0.00421385
-734.311,41.2505,-997.303,0.00421386
-689.029,15.8933,-1028.8,0.00294474
-834.905,132.673,-968.772,0.00221124
-785.721,91.8503,-980.688,0.00276556
-784.593,110.187,-1028.79,0.00252568
-811.089,131.617,-1032.34,0.00238878
-820.754,131.001,-979.457,0.00317544
-806.369,128.472,-989.926,0.00329285
-775.294,79.1308,-983.903,0.00331634
-791.623,123.158,-1010.92,0.00276954
-881.26,209.739,-991.402,0.000701272
-881.745,186.814,-1017.17,0.00075386
-832.976,154.392,-1024.54,0.00119558
-815.413,135.937,-998.872,0.00312455
-814.577,136.586,-1013.48,0.00266461
-995.449,317.881,-986.854,0.00114695
-1004.74,320.415,-1003.72,0.00115454
-1020.03,305.032,-964.785,0.00348791
-1031.82,328.808,-1038.36,0.000988924
-958.058,287.033,-1008.44,0.000524417
-1069.62,369.273,-1006.73,0.00101653
-1050.54,350.204,-1004.58,0.00113656
-1056.13,362.387,-1023.77,0.0014278
-1086.09,385.864,-1001.86,0.000689285
-1121.68,431.024,-1034.31,0.00095629
-1116.23,415.691,-1012.59,0.000800186
-1139.84,449.391,-1000.82,0.00037494
-342.472,-354.372,-897.9,0.00186487
-319.817,-374.264,-906.478,0.00163053
-350.868,-372.795,-940.543,0.000610043
-488.447,-212.978,-916.595,0.000820511
-524.459,-204.117,-891.827,0.00128369
-421.933,-266.861,-956.056,0.000631572
-444.948,-255.242,-947.52,0.000688968
-556.267,-139.814,-914.239,0.0034942
-568.526,-149.152,-934.486,0.00234651
-575.845,-139.428,-932.367,0.00338472
-549.414,-156.972,-938.337,0.0013895
-536.989,-156.365,-937.996,0.00184911
-554.4,-162.602,-908.357,0.00252157
-619.364,-84.5259,-946.174,0.00236879
-637.052,-84.3263,-915.063,0.00268397
-620.395,-80.6304,-892.269,0.00167704
-633.195,-63.2953,-927.838,0.00302855
-620.431,-85.3363,-933.654,0.00258608
-577.159,-108.58,-963.722,0.00402118
-607.624,-92.9523,-916.075,0.00187479
-590.367,-119.543,-934.52,0.00352307
-582.496,-128.996,-935.022,0.00355566
-584.384,-131.868,-905.308,0.00437437
-592.556,-123.699,-910.342,0.00419295
-704.261,-12.9344,-902.768,0.00576603
-697.286,-13.5165,-918.246,0.00530026
-718.09,3.59271,-891.838,0.00744046
-647.743,-49.1827,-950.768,0.00324704
-658.317,-51.9682,-908.152,0.00334352
-655.243,-60.741,-917.803,0.00354363
-657.414,-53.6533,-928.042,0.00367025
-633.795,-64.528,-940.31,0.00313778
-677.92,-39.5874,-926.786,0.00458848
-657.762,-27.3064,-943.218,0.00406973
-662.268,-36.9686,-905.984,0.00299047
-774.875,66.9821,-954.921,0.00360226
-746.851,49.7187,-918.348,0.00427732
-777.817,54.7915,-901.49,0.00546566
-795.885,78.9818,-945.838,0.00270832
-787.128,60.9503,-896.062,0.00419184
-731.596,13.9215,-907.565,0.00600485
-746.999,52.6045,-945.521,0.00386666
-722.172,8.21634,-902.833,0.00665058
-697.664,1.91041,-935.449,0.00514087
-714.61,18.8716,-930.518,0.00510263
-711.228,7.9416,-919.292,0.00586933
-704.535,-4.78623,-912.625,0.00550383
-831.05,120.204,-907.356,0.00467343
-835.313,131.953,-904.672,0.00864162
-766.277,66.6342,-927.694,0.00406179
-804.281,87.4033,-906.915,0.00243678
-773.117,67.0178,-940.216,0.00433271
-784.89,80.8165,-923.719,0.00299695
-903.757,214.435,-960.452,0.00114057
-888.345,173.072,-932.367,0.00166196
-881.026,163.348,-934.486,0.00217107
-893.315,172.167,-896.997,0.00180535
-843.464,147.309,-945.513,0.0036507
-849.489,156.135,-937.996,0.00367692
-866.9,149.898,-908.357,0.00265643
-958.773,253.466,-937.681,0.00271023
-974.718,267.265,-911.942,0.00413362
-962.14,257.802,-923.574,0.00359842
-981.72,269.998,-945.019,0.00487452
-930.774,240.554,-931.079,0.00219007
-952.159,266.42,-963.722,0.00228087
-958.798,258.972,-883.834,0.00201348
-1058.64,342.836,-910.329,0.00188981
-1052.92,339.817,-884.483,0.00252667
-1032.11,319.631,-887.18,0.00100247
-1017.46,316.802,-904.657,0.00146461
-358.258,-374.418,-822.229,0.000440175
-323.722,-381.81,-846.684,0.000490331
-414.203,-310.416,-867.68,0.000745755
-444.037,-275.17,-826.607,0.00144158
-452.264,-273.512,-814.041,0.00121277
-400.906,-332.777,-836.362,0.000535912
-515.445,-223.261,-820.333,0.00140681
-492.319,-240.722,-855.769,0.0384022
-453.232,-253.514,-867.22,0.00224712
-450.371,-265.056,-854.304,0.00265736
-563.96,-161.445,-871.694,0.00298587
-553.627,-168.506,-873.501,0.00287493
