Time t / s;Current I_A1 / A;Voltage U_B2 / V;Magn. flux density B_A1 / mT;Voltage U_B1 / V
0;0,002205;0,00105;-10,125;0,13
0,1;0,002205;0,0011;-10,17;0,13
0,199;0,002205;0,0011;-10,155;0,13
0,301;0,00219;0,00105;-10,14;0,13
0,4;0,002205;0,0011;-10,185;0,13
0,501;0,00216;0,0011;-10,125;0,13
0,6;0,002205;0,0011;-10,14;0,13
0,7;0,00222;0,0011;-10,155;0,135
0,8;0,00222;0,00115;-10,14;0,13
0,9;0,00294;0,00165;-10,155;0,175
1,001;0,00354;0,00205;-10,125;0,22
1,1;0,004275;0,00255;-10,155;0,255
1,2;0,00459;0,00275;-10,14;0,28
1,3;0,004875;0,003;-10,14;0,295
1,4;0,00543;0,0033;-10,11;0,325
1,5;0,00612;0,0038;-10,14;0,37
1,6;0,00645;0,00405;-10,11;0,39
1,7;0,00708;0,00445;-10,17;0,43
1,801;0,00747;0,00475;-10,125;0,46
1,9;0,008415;0,00535;-10,14;0,51
2;0,008925;0,00575;-10,095;0,545
2,1;0,00969;0,00625;-10,125;0,59
2,2;0,0105;0,0068;-10,14;0,64
2,3;0,011805;0,0077;-10,125;0,72
2,4;0,012435;0,0081;-10,11;0,755
2,501;0,01326;0,0087;-10,14;0,805
2,6;0,01428;0,0094;-10,125;0,87
2,7;0,015105;0,0099;-10,095;0,92
2,799;0,01575;0,0104;-10,11;0,955
2,9;0,01659;0,01095;-10,11;1,01
3,001;0,017175;0,0113;-10,125;1,045
3,1;0,017805;0,01175;-10,14;1,085
3,201;0,018405;0,01215;-10,125;1,12
3,3;0,018945;0,01255;-10,125;1,15
3,4;0,019755;0,0131;-10,14;1,2
3,5;0,02034;0,0135;-10,095;1,235
3,6;0,0207;0,01375;-10,125;1,26
3,7;0,021315;0,0142;-10,11;1,295
3,8;0,021795;0,01455;-10,125;1,33
3,9;0,02244;0,015;-10,095;1,365
4;0,023295;0,01555;-10,11;1,415
4,1;0,023835;0,0159;-10,08;1,445
4,199;0,02409;0,01615;-10,11;1,465
4,3;0,024975;0,01675;-10,11;1,52
4,4;0,025575;0,01715;-10,11;1,555
4,5;0,026265;0,01765;-10,11;1,6
4,6;0,0273;0,0183;-10,11;1,66
4,701;0,028185;0,0189;-10,095;1,715
4,801;0,0291;0,0195;-10,08;1,77
4,9;0,02964;0,0199;-10,125;1,8
5,002;;0,0203;-10,035;1,84
5,1;0,0308;0,0207;-10,065;1,875
5,2;0,03115;0,02105;-10,095;1,9
5,299;0,032;0,0216;-10,125;1,95
5,4;0,0325;0,02195;-10,095;1,98
5,5;0,03305;0,0223;-10,11;2,01
5,6;0,0331;0,02225;-10,035;2,01
5,7;0,03305;0,0223;-10,095;2,01
5,8;0,03305;0,0223;-10,11;2,01
5,9;0,03305;0,0223;-10,08;2,01
