Sequence Name,20240603_S24031_anonymous
Sample Name,Blank
Area,15906292.428,tR (min),3.696
Area,10164232.248,tR (min),3.783
Area,5541647.716,tR (min),4.091
Area,203969.547,tR (min),6.514
Area,542692.442,tR (min),6.579
Area,1039445.806,tR (min),6.788
Area,4011338.408,tR (min),7.249
Area,504687.529,tR (min),8.177
Area,108363.994,tR (min),8.420
Compound Name,RT,Score
2,4,6-Cycloheptatrien-1-one, 3,5-bis-trimethylsilyl-,8.705,626,Area,386902.453,tR (min),8.705
Area,368393.389,tR (min),8.850
Area,91574.405,tR (min),9.447
Area,899294.259,tR (min),9.651
Area,193389.843,tR (min),10.041
Area,56853.148,tR (min),10.812
Compound Name,RT,Score
Benzene, 4-ethenyl-1,2-dimethyl-,11.682,600,Area,16289.239,tR (min),11.682
Compound Name,RT,Score
2-(p-Tolyl)propan-2-ol, TMS,11.921,605,Area,17976.558,tR (min),11.921
Area,78966.216,tR (min),12.031
Compound Name,RT,Score
Tris(tert-butyldimethylsilyloxy)arsane,12.036,685,Area,76702.743,tR (min),12.036
Area,534.128,tR (min),12.285
Compound Name,RT,Score
Phenyl-pentamethyl-disiloxane,13.646,656,Area,84633.281,tR (min),13.646
Area,11464.379,tR (min),13.696
Compound Name,RT,Score
Cyclopentene, 3,3-dimethyl-4-methylene-1,2-bis(trimethylsil,14.543,645,Area,402308.085,tR (min),14.543
Compound Name,RT,Score
1,4-Bis(trimethylsilyl)benzene,14.568,698,Area,18853.143,tR (min),14.568
Area,78944.761,tR (min),14.721
Compound Name,RT,Score
1,4-Bis(trimethylsilyl)benzene,14.854,607,Area,28865.213,tR (min),14.854
Area,18597.104,tR (min),15.347
Area,25259.217,tR (min),15.354
Compound Name,RT,Score
2,4,6-Cycloheptatrien-1-one, 3,5-bis-trimethylsilyl-,15.652,603,Area,21830.564,tR (min),15.652
Compound Name,RT,Score
Octaethylene glycol monododecyl ether,16.208,601,Area,241092.304,tR (min),16.208
Compound Name,RT,Score
3,6-Dioxa-2,4,5,7-tetrasilaoctane, 2,2,4,4,5,5,7,7-octameth,16.31,768,Area,4316885.778,tR (min),16.310
Compound Name,RT,Score
[1,1'-Bicyclopropyl]-2-octanoic acid, 2'-hexyl-, methyl est,16.642,605,Area,566.512,tR (min),16.642
Compound Name,RT,Score
1,4-Bis(trimethylsilyl)benzene,17.096,621,Area,55159.976,tR (min),17.096
Area,110790.338,tR (min),17.240
Area,18065.287,tR (min),17.311
Area,205496.813,tR (min),17.569
Compound Name,RT,Score
Octaethylene glycol monododecyl ether,18.538,611,Area,11565.186,tR (min),18.538
Area,26560.617,tR (min),18.831
Compound Name,RT,Score
1,4-Benzenediol, 2,6-bis(1,1-dimethylethyl)-,18.844,671,Area,22840.183,tR (min),18.844
Compound Name,RT,Score
3,6-Dioxa-2,4,5,7-tetrasilaoctane, 2,2,4,4,5,5,7,7-octameth,19.033,727,Area,1011507.248,tR (min),19.033
Compound Name,RT,Score
2,4,6-Cycloheptatrien-1-one, 3,5-bis-trimethylsilyl-,19.32,627,Area,851248.850,tR (min),19.320
Area,1281690.987,tR (min),19.373
Compound Name,RT,Score
(t-Butyl-dimethylsilyl)[2-methyl-2-(4-methyl-pent-3-enyl)-c,19.853,650,Area,10141.071,tR (min),19.853
Compound Name,RT,Score
2,4-Di-tert-butylthiophenol,20.918,612,Area,12677.843,tR (min),20.918
Area,14972.853,tR (min),21.273
Area,11336.750,tR (min),21.277
Compound Name,RT,Score
1-(2-Hydroxy-5-methylphenyl)propan-1-one, TMS,21.294,648,Area,84143.574,tR (min),21.294
Compound Name,RT,Score
