year,month,day,hour,height
2024,4,30,0,2218
2024,4,30,1,2230
2024,4,30,2,2254
2024,4,30,3,2333
2024,4,30,4,2429
2024,4,30,5,2539
2024,4,30,6,2652
2024,4,30,7,2738
2024,4,30,8,2783
2024,4,30,9,2756
2024,4,30,10,2640
2024,4,30,11,2449
2024,4,30,12,2200
2024,4,30,13,1933
2024,4,30,14,1659
2024,4,30,15,1464
2024,4,30,16,1357
2024,4,30,17,1332
2024,4,30,18,1428
2024,4,30,19,1557
2024,4,30,20,1743
2024,4,30,21,1950
2024,4,30,22,2120
2024,4,30,23,2235
2024,5,1,0,-32767
2024,5,1,1,2310
2024,5,1,2,2294
2024,5,1,3,2274
2024,5,1,4,2270
2024,5,1,5,2319
2024,5,1,6,2386
2024,5,1,7,2477
2024,5,1,8,2575
2024,5,1,9,2651
2024,5,1,10,2684
2024,5,1,11,2625
2024,5,1,12,2472
2024,5,1,13,2260
2024,5,1,14,1993
2024,5,1,15,1720
2024,5,1,16,1506
2024,5,1,17,1368
2024,5,1,18,1309
2024,5,1,19,1374
2024,5,1,20,1546
2024,5,1,21,1786
2024,5,1,22,2041
2024,5,1,23,2241
2024,5,2,0,2390
2024,5,2,1,2454
2024,5,2,2,2437
2024,5,2,3,2363
2024,5,2,4,2289
2024,5,2,5,2216
2024,5,2,6,2194
2024,5,2,7,2231
2024,5,2,8,2325
2024,5,2,9,2477
2024,5,2,10,2602
2024,5,2,11,2671
2024,5,2,12,2664
2024,5,2,13,2545
2024,5,2,14,2314
2024,5,2,15,2041
2024,5,2,16,1747
2024,5,2,17,1481
2024,5,2,18,1326
2024,5,2,19,1278
2024,5,2,20,1375
2024,5,2,21,1590
2024,5,2,22,1898
2024,5,2,23,2191
2024,5,3,0,2433
2024,5,3,1,2572
2024,5,3,2,2596
2024,5,3,3,2508
2024,5,3,4,2347
2024,5,3,5,2171
2024,5,3,6,2015
2024,5,3,7,1950
2024,5,3,8,1992
2024,5,3,9,2136
2024,5,3,10,2333
2024,5,3,11,2533
2024,5,3,12,2675
2024,5,3,13,2718
2024,5,3,14,2605
2024,5,3,15,2397
2024,5,3,16,2104
2024,5,3,17,1769
2024,5,3,18,1486
2024,5,3,19,1330
2024,5,3,20,1303
2024,5,3,21,1488
2024,5,3,22,1782
2024,5,3,23,2109
2024,5,4,0,2449
2024,5,4,1,2696
2024,5,4,2,2802
2024,5,4,3,2735
2024,5,4,4,2544
2024,5,4,5,2285
2024,5,4,6,1993
2024,5,4,7,1799
